symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
XLM/GBP,0.23416,0.23416,0.23373,0.23373,2,1644.47222373,0.23373,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XLM/GBP,0.23416,0.23416,0.23416,0.23416,1,20.0,0.23416,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XLM/GBP,0.23718,0.23718,0.23718,0.23718,1,379.74238961,0.23718,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XLM/GBP,0.23906,0.23906,0.23812,0.23812,2,1977.51499369,0.23829,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XLM/GBP,0.23906,0.23906,0.23906,0.23906,1,376.75606653,0.23906,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XLM/GBP,0.23964,0.23964,0.23964,0.23964,1,417.29260558,0.23964,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
XLM/GBP,0.23238,0.23727,0.23238,0.23727,3,985.9054681,0.23258,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
XLM/GBP,0.23238,0.23255,0.23238,0.23255,2,945.78092142,0.23239,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
XLM/GBP,0.23238,0.23238,0.23238,0.23238,1,882.92844064,0.23238,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
XLM/GBP,0.24161,0.24161,0.22865,0.22865,20,41125.09296997,0.23546,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
XLM/GBP,0.24161,0.24161,0.23,0.23,15,32478.3653267,0.23727,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
XLM/GBP,0.24161,0.24161,0.23112,0.23112,13,31826.19141367,0.23742,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
XLM/GBP,0.24161,0.24161,0.23265,0.23265,12,28211.84074343,0.23823,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
XLM/GBP,0.24161,0.24161,0.235,0.235,11,28168.85772173,0.23824,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
XLM/GBP,0.24161,0.24161,0.23501,0.23501,10,28058.85772173,0.23825,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
XLM/GBP,0.24161,0.24161,0.23636,0.23784,9,27193.1476633,0.23835,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
