symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
XRP/GBP,1.67,1.67205,1.65,1.65,58,26067.57226363,1.65738,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67205,1.65,1.65004,56,25042.00954711,1.65768,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67205,1.65,1.65,53,24042.00954711,1.658,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67205,1.65001,1.65001,51,16711.50559697,1.66151,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67205,1.65001,1.65002,50,16205.23672588,1.66187,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67205,1.65001,1.65001,49,15698.97092305,1.66225,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67205,1.65001,1.65001,48,15498.97092305,1.66241,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67205,1.65001,1.65001,45,14498.97092305,1.66326,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67205,1.65632,1.67205,44,14089.71119176,1.66365,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67,1.65632,1.65632,43,14029.30630176,1.66361,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67,1.65694,1.65694,42,13829.30630176,1.66372,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67,1.65719,1.65719,39,12213.97255374,1.6646,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67,1.65719,1.65719,37,11213.97255374,1.66498,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67,1.6608,1.66286,35,10962.4463228,1.66515,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67,1.6608,1.6608,34,10710.92009184,1.66521,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67,1.66574,1.66574,32,7955.12266292,1.66674,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/GBP,1.67,1.67,1.66574,1.66574,31,7919.36493194,1.66674,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
