symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
XRP/USDC,2.05263,2.05263,2.03847,2.03847,14,1835.82553554,2.04356,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/USDC,2.05263,2.05263,2.04312,2.04312,11,1291.37231436,2.04571,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/USDC,2.05263,2.05263,2.04312,2.04312,10,1091.79503725,2.04618,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/USDC,2.05263,2.05263,2.04312,2.04312,9,973.33643725,2.04655,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/USDC,2.05263,2.05263,2.04735,2.04735,8,773.75923725,2.04744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/USDC,2.05263,2.05263,2.04735,2.04735,7,773.7592,2.04744,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/USDC,2.05263,2.05263,2.04736,2.04736,5,485.9369,2.0475,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/USDC,2.05263,2.05263,2.04736,2.04736,4,253.4684,2.04763,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/USDC,2.05263,2.05263,2.04736,2.04736,3,205.3747,2.04769,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/USDC,2.05263,2.05263,2.04736,2.04736,2,61.0937,2.04848,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/USDC,2.05263,2.05263,2.05263,2.05263,1,13.0,2.05263,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XRP/USDC,2.1105,2.1105,2.0712,2.0712,13,958.07320564,2.07616,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XRP/USDC,2.1105,2.1105,2.0712,2.0712,12,958.07307284,2.07616,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XRP/USDC,2.1105,2.1105,2.0712,2.0712,11,640.31257284,2.07862,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XRP/USDC,2.1105,2.1105,2.07465,2.07465,9,592.65397284,2.07921,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XRP/USDC,2.1105,2.1105,2.07465,2.07465,8,562.92067284,2.07946,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XRP/USDC,2.1105,2.1105,2.07465,2.07465,7,418.63957284,2.08111,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XRP/USDC,2.1105,2.1105,2.07896,2.07896,6,351.65047284,2.08235,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XRP/USDC,2.1105,2.1105,2.07896,2.07896,5,351.65041297,2.08235,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XRP/USDC,2.1105,2.1105,2.07896,2.07896,4,237.10261297,2.08398,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XRP/USDC,2.1105,2.1105,2.07896,2.07896,3,140.91521297,2.08742,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XRP/USDC,2.1105,2.1105,2.09247,2.09247,2,44.72781297,2.10562,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XRP/USDC,2.1105,2.1105,2.1105,2.1105,1,32.62302772,2.1105,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XRP/USDC,2.07494,2.10775,2.06874,2.10775,7,9898.91094477,2.07616,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XRP/USDC,2.07494,2.10391,2.06874,2.10391,5,9842.97404477,2.07598,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XRP/USDC,2.07494,2.1037,2.06874,2.1037,3,9534.7917,2.07508,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XRP/USDC,2.07494,2.07494,2.06874,2.06874,2,9486.698,2.07493,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
