symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
XRT/USD,2.27,2.27,2.23,2.23,4,213.86140137,2.24,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XRT/USD,2.3,2.3,2.3,2.3,1,34.7151956,2.3,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
XRT/USD,2.34,2.34,2.34,2.34,1,34.2187683,2.34,2025-02-03T01:10:00.000000000Z,1,2025-02-03T01:11:00.000000Z
XRT/USD,2.36,2.36,2.36,2.36,1,0.75889,2.36,2025-02-03T00:48:00.000000000Z,1,2025-02-03T00:49:00.000000Z
XRT/USD,2.36,2.36,2.36,2.36,1,0.75946,2.36,2025-02-03T00:47:00.000000000Z,1,2025-02-03T00:48:00.000000Z
XRT/USD,2.26,2.26,2.26,2.26,1,103.62660206,2.26,2025-02-03T00:44:00.000000000Z,1,2025-02-03T00:45:00.000000Z
XRT/USD,2.37,2.37,2.37,2.37,2,7.17983743,2.37,2025-02-02T23:45:00.000000000Z,1,2025-02-02T23:46:00.000000Z
XRT/USD,2.37,2.37,2.37,2.37,3,13.50787932,2.37,2025-02-02T23:44:00.000000000Z,1,2025-02-02T23:45:00.000000Z
XRT/USD,2.37,2.37,2.37,2.37,1,4.31968957,2.37,2025-02-02T23:00:00.000000000Z,1,2025-02-02T23:01:00.000000Z
XRT/USD,2.32,2.39,2.32,2.37,5,31.41334359,2.35,2025-02-02T22:58:00.000000000Z,1,2025-02-02T22:59:00.000000Z
XRT/USD,2.26,2.26,2.26,2.26,2,42.17221728,2.26,2025-02-02T22:55:00.000000000Z,1,2025-02-02T22:56:00.000000Z
