symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
XTZ/EUR,0.7397,0.7397,0.7377,0.7377,2,4890.84746412,0.7395,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XTZ/EUR,0.7397,0.7397,0.7397,0.7397,1,4588.41110428,0.7397,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
XTZ/EUR,0.7441,0.7441,0.7411,0.7411,5,3464.61808434,0.7412,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XTZ/EUR,0.7441,0.7441,0.7441,0.7441,1,156.13775023,0.7441,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
XTZ/EUR,0.7406,0.754,0.7385,0.7459,52,83432.11491481,0.743,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.754,0.7385,0.7468,51,82975.5013344,0.7429,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.754,0.7385,0.7472,49,82314.8732864,0.7429,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.754,0.7385,0.754,48,75678.93941246,0.7425,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.754,0.7385,0.754,47,69298.90224122,0.7415,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.75,0.7385,0.7478,46,67995.97064523,0.7412,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.75,0.7385,0.7435,45,63299.26230213,0.7408,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.75,0.7385,0.7436,44,62228.48859664,0.7407,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.75,0.7385,0.75,42,57179.0411321,0.7405,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7484,0.7385,0.7484,40,57156.8861321,0.7404,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7421,0.7385,0.7405,39,53586.57412659,0.7399,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7421,0.7385,0.7406,37,45562.113445,0.7398,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7411,0.7385,0.7391,32,38885.81656844,0.7396,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7411,0.7385,0.739,30,33804.45457558,0.7396,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7411,0.7385,0.7388,29,32202.14713881,0.7396,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7411,0.7385,0.7401,26,25522.64398995,0.7398,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7411,0.7385,0.7395,25,24388.36363526,0.7398,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7406,0.7385,0.7395,22,19323.92837001,0.7397,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7406,0.7385,0.7395,21,18942.0731297,0.7397,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7406,0.7385,0.7402,19,17811.17916993,0.7397,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7406,0.7385,0.7388,17,16214.60678426,0.7396,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7406,0.7385,0.7385,13,11157.57600388,0.7397,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7406,0.7385,0.7385,12,9562.81828682,0.7399,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7406,0.7399,0.7399,11,8434.25565352,0.7401,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7406,0.74,0.74,8,5685.59633324,0.7401,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
XTZ/EUR,0.7406,0.7406,0.74,0.74,5,4096.08047049,0.7402,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
