symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ZEREBRO/USD,0.05,0.05,0.05,0.05,5,22449.41321,0.05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEREBRO/USD,0.05,0.05,0.05,0.05,4,17442.03537,0.05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEREBRO/USD,0.05,0.05,0.05,0.05,3,12440.18014,0.05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEREBRO/USD,0.05,0.05,0.05,0.05,2,7438.05285,0.05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEREBRO/USD,0.05,0.05,0.05,0.05,1,2435.50791,0.05,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEREBRO/USD,0.0502,0.0502,0.0502,0.0502,1,2425.80549,0.0502,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ZEREBRO/USD,0.0504,0.0504,0.0504,0.0504,1,2425.80549,0.0504,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ZEREBRO/USD,0.0506,0.0506,0.0494,0.0498,5,19402.11101,0.0498,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZEREBRO/USD,0.0506,0.0506,0.0494,0.0494,4,16947.07932,0.0498,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZEREBRO/USD,0.0506,0.0506,0.0494,0.0494,3,11883.67361,0.05,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZEREBRO/USD,0.0506,0.0506,0.0504,0.0504,2,6821.96747,0.0505,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZEREBRO/USD,0.0506,0.0506,0.0506,0.0506,1,4366.93578,0.0506,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZEREBRO/USD,0.047,0.05,0.047,0.05,11,65673.98866,0.0486,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ZEREBRO/USD,0.047,0.0489,0.047,0.0489,10,61996.95202,0.0485,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ZEREBRO/USD,0.047,0.0489,0.047,0.0489,9,58538.30801,0.0485,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ZEREBRO/USD,0.047,0.0489,0.047,0.0489,8,52935.39238,0.0484,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ZEREBRO/USD,0.047,0.0489,0.047,0.0489,7,47829.05344,0.0484,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ZEREBRO/USD,0.047,0.0488,0.047,0.0488,6,40280.05345,0.0483,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ZEREBRO/USD,0.047,0.0484,0.047,0.0484,5,35207.97803,0.0482,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ZEREBRO/USD,0.047,0.0484,0.047,0.0484,4,32901.70123,0.0482,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ZEREBRO/USD,0.047,0.0484,0.047,0.0484,3,22628.28097,0.0482,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ZEREBRO/USD,0.047,0.0484,0.047,0.0484,2,12363.58941,0.0481,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ZEREBRO/USD,0.047,0.047,0.047,0.047,1,2632.63013,0.047,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ZEREBRO/USD,0.05,0.05,0.047,0.047,9,35162.49824,0.0494,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ZEREBRO/USD,0.05,0.05,0.0494,0.0494,8,29843.34931,0.0499,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ZEREBRO/USD,0.05,0.05,0.0496,0.0496,7,29262.24531,0.0499,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ZEREBRO/USD,0.05,0.05,0.0499,0.0499,5,24182.52673,0.0499,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ZEREBRO/USD,0.05,0.05,0.05,0.05,2,18089.56336,0.05,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ZEREBRO/USD,0.05,0.05,0.05,0.05,1,9971.36501,0.05,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ZEREBRO/USD,0.0534,0.0534,0.0504,0.0504,17,93526.97785,0.0521,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ZEREBRO/USD,0.0534,0.0534,0.0507,0.0507,16,91701.83657,0.0521,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ZEREBRO/USD,0.0534,0.0534,0.0507,0.0507,15,88072.40158,0.0522,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
ZEREBRO/USD,0.0534,0.0534,0.0508,0.0508,14,86770.87011,0.0522,2025-02-03T01:54:00.000000000Z,1,2025-02-03T01:55:00.000000Z
