symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ZETA/USD,0.2815,0.2815,0.2795,0.2796,3,2300.0,0.2799,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ZETA/USD,0.2815,0.2815,0.2815,0.2815,1,500.0,0.2815,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ZETA/USD,0.2883,0.2887,0.2834,0.2834,4,3587.20547,0.2868,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZETA/USD,0.2883,0.2887,0.2859,0.2859,3,2829.55594,0.2877,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZETA/USD,0.2883,0.2887,0.2883,0.2887,2,1924.17769,0.2886,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZETA/USD,0.2883,0.2883,0.2883,0.2883,1,123.0,0.2883,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZETA/USD,0.2866,0.2875,0.2842,0.2873,6,3302.10922,0.2869,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ZETA/USD,0.2866,0.2875,0.2842,0.2863,5,3104.94561,0.2868,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ZETA/USD,0.2866,0.2875,0.2842,0.2853,4,2930.30363,0.2869,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ZETA/USD,0.2866,0.2875,0.2842,0.2842,3,2755.04951,0.287,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ZETA/USD,0.2866,0.2875,0.2866,0.2875,2,2557.8859,0.2872,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ZETA/USD,0.2852,0.2852,0.2833,0.2837,6,11324.99366,0.2849,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ZETA/USD,0.2852,0.2852,0.2833,0.2833,3,10124.99366,0.2851,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ZETA/USD,0.2852,0.2852,0.2851,0.2851,2,9793.99366,0.2851,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ZETA/USD,0.2852,0.2852,0.2852,0.2852,1,9618.6166,0.2852,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ZETA/USD,0.287,0.2882,0.287,0.2882,2,297.21603,0.2874,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ZETA/USD,0.287,0.287,0.287,0.287,1,174.21603,0.287,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ZETA/USD,0.2828,0.2853,0.2817,0.2853,8,16104.14078,0.2845,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZETA/USD,0.2828,0.2853,0.2817,0.2853,7,4131.01678,0.2824,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
