symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ZEUS/USD,0.3061,0.3061,0.3054,0.3054,4,324.99699,0.3057,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
ZEUS/USD,0.3144,0.3144,0.3097,0.31,20,5141.78964,0.3105,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEUS/USD,0.3144,0.3144,0.3097,0.3102,19,4961.99722,0.3106,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEUS/USD,0.3144,0.3144,0.3097,0.3105,18,4821.40616,0.3106,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEUS/USD,0.3144,0.3144,0.3097,0.3107,15,4324.14791,0.3106,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEUS/USD,0.3144,0.3144,0.3097,0.312,14,4314.33791,0.3106,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEUS/USD,0.3144,0.3144,0.3097,0.3097,13,3958.15564,0.3104,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEUS/USD,0.3144,0.3144,0.3097,0.3097,12,2997.40256,0.3107,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEUS/USD,0.3144,0.3144,0.3097,0.3097,11,2568.40256,0.3109,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEUS/USD,0.3144,0.3144,0.31,0.31,10,1300.70766,0.3121,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEUS/USD,0.3144,0.3144,0.314,0.314,2,630.15564,0.314,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEUS/USD,0.3144,0.3144,0.3144,0.3144,1,45.0,0.3144,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZEUS/USD,0.3168,0.3168,0.3149,0.3149,3,500.0,0.3158,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ZEUS/USD,0.327,0.327,0.3177,0.3177,6,2358.24131,0.3216,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ZEUS/USD,0.327,0.327,0.3181,0.3181,4,1781.38113,0.3229,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ZEUS/USD,0.327,0.327,0.327,0.327,1,886.407,0.327,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ZEUS/USD,0.3258,0.3288,0.3258,0.3288,12,4648.93142,0.3277,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ZEUS/USD,0.3258,0.3283,0.3258,0.3258,5,1172.19942,0.3265,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ZEUS/USD,0.3258,0.3283,0.3258,0.3283,4,728.08577,0.327,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ZEUS/USD,0.3258,0.3283,0.3258,0.3283,3,656.85667,0.3269,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ZEUS/USD,0.3258,0.3258,0.3258,0.3258,1,337.01507,0.3258,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ZEUS/USD,0.3167,0.3222,0.314,0.3211,15,6220.58167,0.3166,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZEUS/USD,0.3167,0.3222,0.314,0.3222,11,5416.47472,0.3159,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZEUS/USD,0.3167,0.3205,0.314,0.3205,9,5101.79318,0.3155,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZEUS/USD,0.3167,0.3195,0.314,0.314,8,4897.24914,0.3153,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZEUS/USD,0.3167,0.3195,0.314,0.314,7,4896.44762,0.3153,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZEUS/USD,0.3167,0.3195,0.3143,0.3194,6,4095.7295,0.3156,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZEUS/USD,0.3167,0.3167,0.3143,0.3143,3,1889.24914,0.3148,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZEUS/USD,0.3167,0.3167,0.3146,0.3146,2,755.28599,0.3157,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZEUS/USD,0.3167,0.3167,0.3167,0.3167,1,423.24914,0.3167,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZEUS/USD,0.3123,0.3167,0.3,0.3167,66,46169.74281,0.304,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
