symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
ZRO/EUR,2.418,2.418,2.418,2.418,1,88.94018,2.418,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
ZRO/EUR,2.414,2.414,2.414,2.414,1,89.08752,2.414,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
ZRO/EUR,2.411,2.411,2.392,2.392,2,177.47299,2.401,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ZRO/EUR,2.411,2.411,2.411,2.411,1,88.38547,2.411,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
ZRO/EUR,2.416,2.416,2.416,2.416,1,88.38547,2.416,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
ZRO/EUR,2.41,2.413,2.391,2.413,13,845.89075,2.401,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZRO/EUR,2.41,2.41,2.391,2.392,12,766.60908,2.4,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZRO/EUR,2.41,2.41,2.391,2.391,11,677.3368,2.401,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZRO/EUR,2.41,2.41,2.395,2.407,10,598.05513,2.403,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZRO/EUR,2.41,2.41,2.395,2.395,9,518.77345,2.402,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZRO/EUR,2.41,2.41,2.395,2.395,8,499.46416,2.402,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZRO/EUR,2.41,2.41,2.401,2.401,7,432.58666,2.404,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZRO/EUR,2.41,2.41,2.401,2.401,6,348.12716,2.404,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZRO/EUR,2.41,2.41,2.402,2.402,4,258.17875,2.405,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZRO/EUR,2.41,2.41,2.402,2.402,3,257.37875,2.405,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZRO/EUR,2.41,2.41,2.406,2.406,2,171.44312,2.407,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZRO/EUR,2.41,2.41,2.41,2.41,1,85.65036,2.41,2025-02-03T01:57:00.000000000Z,1,2025-02-03T01:58:00.000000Z
ZRO/EUR,2.301,2.301,2.301,2.301,1,93.15204,2.301,2025-02-03T01:56:00.000000000Z,1,2025-02-03T01:57:00.000000Z
ZRO/EUR,2.436,2.443,2.266,2.266,9,1148.70901,2.406,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ZRO/EUR,2.436,2.443,2.384,2.384,8,1040.95139,2.42,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ZRO/EUR,2.436,2.443,2.403,2.403,7,947.79935,2.424,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ZRO/EUR,2.436,2.443,2.403,2.403,5,665.69935,2.433,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ZRO/EUR,2.436,2.443,2.436,2.443,4,590.48524,2.437,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ZRO/EUR,2.436,2.437,2.436,2.437,3,550.02444,2.436,2025-02-03T01:55:00.000000000Z,1,2025-02-03T01:56:00.000000Z
ZRO/EUR,2.57,2.57,2.57,2.57,1,91.1636,2.57,2025-02-03T01:52:00.000000000Z,1,2025-02-03T01:53:00.000000Z
ZRO/EUR,2.557,2.575,2.55,2.575,5,411.57301,2.562,2025-02-03T01:49:00.000000000Z,1,2025-02-03T01:50:00.000000Z
ZRO/EUR,2.59,2.59,2.59,2.59,1,0.8,2.59,2025-02-03T01:48:00.000000000Z,1,2025-02-03T01:49:00.000000Z
ZRO/EUR,2.638,2.641,2.638,2.641,2,178.08927,2.639,2025-02-03T01:46:00.000000000Z,1,2025-02-03T01:47:00.000000Z
ZRO/EUR,2.683,2.683,2.683,2.683,1,78.05188,2.683,2025-02-03T01:35:00.000000000Z,1,2025-02-03T01:36:00.000000Z
ZRO/EUR,2.69,2.69,2.684,2.684,2,155.8187,2.687,2025-02-03T01:34:00.000000000Z,1,2025-02-03T01:35:00.000000Z
ZRO/EUR,2.72,2.72,2.72,2.72,1,90.07183,2.72,2025-02-03T01:14:00.000000000Z,1,2025-02-03T01:15:00.000000Z
ZRO/EUR,2.694,2.694,2.694,2.694,1,93.73648,2.694,2025-02-03T00:48:00.000000000Z,1,2025-02-03T00:49:00.000000Z
ZRO/EUR,2.704,2.704,2.704,2.704,1,90.98661,2.704,2025-02-03T00:47:00.000000000Z,1,2025-02-03T00:48:00.000000Z
ZRO/EUR,2.673,2.673,2.673,2.673,1,92.04179,2.673,2025-02-03T00:45:00.000000000Z,1,2025-02-03T00:46:00.000000Z
